1,2,0.06,1.3,1,1,0,3
1,3,0.19,1.3,1,1,0,3
2,4,0.17,0.65,1,1,0,3
3,4,0.04,1.3,1,1,0,3
2,5,0.2,1.3,1,1,0,3
2,6,0.18,0.65,1,1,0,3
4,6,0.04,0.9,1,1,0,3
5,7,0.12,0.7,1,1,0,3
6,7,0.08,1.3,1,1,0,3
6,8,0.04,0.32,1,1,0,3
6,9,0.21,0.65,1,1,0,3
6,10,0.56,0.32,1,1,0,3
9,11,0.21,0.65,1,1,0,3
9,10,0.11,0.65,1,1,0,3
4,12,0.26,0.65,1,1,0,3
12,13,0.14,0.65,1,1,0,3
12,14,0.26,0.32,1,1,0,3
12,15,0.13,0.32,1,1,0,3
12,16,0.2,0.32,1,1,0,3
14,15,0.2,0.16,1,1,0,3
16,17,0.19,0.16,1,1,0,3
15,18,0.22,0.16,1,1,0,3
18,19,0.13,0.16,1,1,0,3
19,20,0.07,0.32,1,1,0,3
10,20,0.21,0.32,1,1,0,3
10,17,0.08,0.32,1,1,0,3
10,21,0.07,0.32,1,1,0,3
10,22,0.15,0.32,1,1,0,3
21,22,0.02,0.32,1,1,0,3
15,23,0.2,0.16,1,1,0,3
22,24,0.18,0.16,1,1,0,3
23,24,0.27,0.16,1,1,0,3
24,25,0.33,0.16,1,1,0,3
25,26,0.38,0.16,1,1,0,3
25,27,0.21,0.16,1,1,0,3
28,27,0.4,0.65,1,1,0,3
27,29,0.42,0.16,1,1,0,3
27,30,0.6,0.16,1,1,0,3
29,30,0.45,0.16,1,1,0,3
8,28,0.2,0.32,1,1,0,3
6,28,0.06,0.32,1,1,0,3
1,8,0.06,1.3,0,1,0,3
2,10,0.19,1.3,0,1,0,3
5,17,0.17,0.65,0,1,0,3
